,Unnamed: 0,title,author,release year,book length,rating,number of ratings
557,557,Without Merit (Kindle Edition),Colleen Hoover,2017,385.0,3.85,125196
558,558,Suddenly You (Mass Market Paperback),Lisa Kleypas,2000,384.0,3.94,26999
559,559,The Thorn Birds (Mass Market Paperback),Colleen McCullough,1977,692.0,4.24,336478
562,562,"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,2011,374.0,3.99,113454
563,563,"A Night Like This (Smythe-Smith Quartet, #2)",Julia Quinn,2012,373.0,3.87,26914
565,565,RoomHate (Paperback),Penelope Ward,2016,320.0,3.9,59673
566,566,"Never Never (Never Never, #1)",Colleen Hoover,2015,158.0,4.02,86589
568,568,"Key of Light (Key Trilogy, #1)",Nora Roberts,2003,334.0,4.17,59041
569,569,"Dating Dr. Dil (If Shakespeare was an Auntie, #1)",Nisha Sharma,2022,364.0,3.73,29881
571,571,"Play (Stage Dive, #2)",Kylie Scott,2014,306.0,4.26,55646
572,572,Stuck-Up Suit (ebook),Vi Keeland,2016,245.0,4.1,65530
574,574,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",Nora Roberts,2013,342.0,3.95,60592
577,577,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,2009,343.0,4.12,138597
578,578,Luna and the Lie (ebook),Mariana Zapata,2018,580.0,4.1,43382
579,579,"Portrait of a Scotsman (A League of Extraordinary Women, #3)",Evie Dunmore,2021,448.0,3.88,22701
